"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"LUM",26.7048086193542,7.22817058746099,1.643968934627,1.33707633534856e-08,9.11237722610148e-07,"LUM"
"APRT",21.2173549615454,7.20213344546561,1.74496374906996,3.68200525706988e-07,1.25374497078685e-05,"APRT"
"ARAF",19.4409385323535,7.19468623293777,1.55084846342329,1.46208584583568e-09,1.54184590205254e-07,"ARAF"
"BAG3",35.9117087138165,7.17188719323772,1.41987149482906,4.30553971468946e-09,3.74082604542894e-07,"BAG3"
"TPSAB1",8.04761680659311,7.15850014891198,3.04218824605091,0.000419215661925433,0.00304575063921318,"TPSAB1"
"CDK9",6.48166729519283,7.1209526355377,2.76011548772605,1.12247730378282e-05,0.000187935151418898,"CDK9"
"RPL10",50.9534163723946,7.10326198785585,1.20211443169916,2.62980765680419e-12,1.23872706661e-09,"RPL10"
"CTU2",7.54984894706563,7.06768923854144,3.00715069471876,0.000398222528937684,0.00293852875008794,"CTU2"
"NDUFB4",6.26660499617532,6.99111319224998,2.80387804771365,4.96521689241434e-05,0.000578906599890322,"NDUFB4"
"POSTN",121.16177270642,6.95936714090277,1.10039297490406,3.0837993485122e-11,8.89329971302568e-09,"POSTN"
"NUTM2G",6.18142866618503,6.95825447283265,2.80227866504596,5.55894683835634e-05,0.000635032156611265,"NUTM2G"
"IFI30",14.1214228671012,6.94699137218129,1.86002249869281,5.42538565264365e-06,0.000104592257377227,"IFI30"
"RPS11",28.3733833915108,6.94590484097607,1.71118129692238,4.06765331882342e-08,2.28712542008972e-06,"RPS11"
"FARSA",6.29238134250871,6.94340069797709,2.8417581633906,0.000107730144380942,0.00105938390413855,"FARSA"
"TIMP1",48.3519090874927,6.89012739501128,1.25584535711978,7.28323216110159e-10,8.94950901465448e-08,"TIMP1"
"CSTB",66.4441811962231,6.88851018162318,1.00195617923989,5.01590033956609e-13,2.6904243337344e-10,"CSTB"
"FBRS",192.76001738431,6.87159685106783,1.01277511623451,1.47428189991164e-13,1.04165387638257e-10,"FBRS"
"FTSJ1",6.17696387908503,6.8680141987755,2.86187188704297,0.000179744924341516,0.00158451374040547,"FTSJ1"
"PTBP3",27.1773835366582,6.86331636570778,1.27968265422677,5.61357251874065e-09,4.66619960366612e-07,"PTBP3"
"DPYSL3",34.6188527668206,6.84452075378254,1.14397596516878,7.73756678733858e-12,2.66681844565564e-09,"DPYSL3"
"AEBP1",258.798529319065,6.80759401654967,0.767615139497524,9.84541319497115e-20,6.95627669290687e-16,"AEBP1"
"ATP6V1F",5.86112657113069,6.79322820153189,2.83869913364762,0.000179156715764434,0.00158031432613435,"ATP6V1F"
"CCND2",37.9461171832455,6.78292444812841,1.13953933854093,1.43743674068735e-10,2.66798598498248e-08,"CCND2"
"NFKBIA",30.0904024335029,6.78082268116873,1.32303321897635,7.87160863205478e-09,6.04530986845468e-07,"NFKBIA"
"CTHRC1",15.6774052714754,6.74508166555868,1.59668287838309,7.48455929778969e-08,3.6220653231872e-06,"CTHRC1"
"RPS15",16.9468434054997,6.74453166150795,1.45957662605705,6.84290659565145e-08,3.40482792616728e-06,"RPS15"
